"node","x","y"
1,50,50
2,128,50
3,218.4,50
4,305.6,50
5,454.2,50
6,585.2,50
7,742.8,50
8,984.8,50
9,1101,50
10,1358,50
11,1610,50
12,1874,50
13,2038.8,50
14,2102.1,50
15,2254.7,50
16,2343.4,50
17,2431.4,50
18,2505,50
22,50,30
23,454,30
24,552.2,30
25,943.2,30
26,985.3,30
27,1101.5,30
28,1356.5,30
29,1606.5,30
30,1872.7,30
31,1973.2,30
32,2027.4,27
19,500,40
20,1043.4,40
21,1922.95,40
33,656.05,60
34,2030,60
35,585,70
36,727.1,70
37,873.8,70
38,1336.8,70
39,1590.5,70
40,1844.9,70
41,1955.7,70
42,2019.9,70
43,805.4,80
44,1899.2,80
45,750,90
46,860.8,90
47,923.8,90
48,1326.8,90
49,1580.8,90
50,1762.2,90
51,1842.7,90
52,1959,90
53,880,100
54,943.8,110
55,1690.8,110
56,1747.5,100
57,900,120
58,918,130
59,1665,130
60,1687.6,120
